GL renderer=AMD Radeon(TM) Graphics; version=3.3.0 Core Profile Context 25.10.39.02.260118
swap_interval_zero=True
scene,pixels,avg_ms,p95_ms,p99_ms,allocated_bytes_frame,working_set_mib
0,1280x720,2.190,3.215,3.950,41688,156.1
1,1280x720,1.264,2.019,2.514,5784,169.5
2,1280x720,1.746,2.609,2.821,466,212.3
0,1920x1080,2.991,5.780,6.941,41688,269.2
1,1920x1080,2.351,3.708,4.193,5756,308.3
2,1920x1080,2.986,4.755,4.846,464,308.9
0,2560x1440,2.417,3.654,4.043,41688,329.0
1,2560x1440,3.546,4.818,5.688,5728,359.8
2,2560x1440,3.971,5.845,6.360,464,360.3
0,3840x2160,3.315,4.707,5.193,41688,394.4
1,3840x2160,4.740,6.575,7.467,5728,462.5
2,3840x2160,5.959,8.536,8.920,464,463.3
