GL renderer=AMD Radeon(TM) Graphics; version=3.3.0 Core Profile Context 25.10.39.02.260118
swap_interval_zero=True
mode,iteration,working_set_bytes,managed_bytes,private_bytes
resize,0,100298752,692248,97665024
resize,100,250814464,880632,273027072
resize,200,415424512,1044600,441257984
resize,300,550690816,1208312,580136960
resize,400,719626240,1380504,752660480
resize,500,506773504,1544216,534339584
resize,600,436498432,1708184,467230720
resize,700,448253952,1880120,471560192
resize,800,486330368,2043832,505352192
resize,900,616247296,429016,640352256
resize,1000,695865344,593496,728604672
create_draw_dispose,0,700682240,601720,733282304
create_draw_dispose,1000,721801216,2213624,737099776
create_draw_dispose,2000,722432000,1700776,737427456
create_draw_dispose,3000,724054016,3312600,738787328
create_draw_dispose,4000,713019392,732536,723193856
create_draw_dispose,5000,710139904,2344440,720003072
create_draw_dispose,6000,709353472,1867984,720003072
create_draw_dispose,7000,466317312,1376160,446877696
create_draw_dispose,8000,466579456,892928,446885888
create_draw_dispose,9000,466841600,410096,446877696
create_draw_dispose,10000,472920064,2013776,453042176
