mode,iteration,working_set_bytes,managed_bytes,private_bytes
resize,0,29409280,675800,8908800
resize,100,29032448,700472,8294400
resize,200,29073408,716920,8310784
resize,300,29097984,741336,8380416
resize,400,29483008,766008,8835072
resize,500,29523968,782456,8830976
resize,600,29544448,806872,8876032
resize,700,29564928,831544,8900608
resize,800,29589504,847992,8900608
resize,900,29634560,872408,8966144
resize,1000,31080448,897080,10399744
create_draw_dispose,0,31440896,905304,10428416
create_draw_dispose,1000,33337344,866440,12091392
create_draw_dispose,2000,33529856,2604696,12296192
create_draw_dispose,3000,35291136,4341272,14090240
create_draw_dispose,4000,37257216,507888,15953920
create_draw_dispose,5000,37265408,2243152,15962112
create_draw_dispose,6000,35934208,1883240,14569472
create_draw_dispose,7000,35934208,1523368,14577664
create_draw_dispose,8000,35934208,1163576,14577664
create_draw_dispose,9000,35934208,803784,14577664
create_draw_dispose,10000,42553344,452216,21000192
