.NET 10.0.11; Microsoft Windows 10.0.26200; X64; SkiaSharp 3.119.0.0; renderer=software/headless
scene,resolution,avg_ms,p95_ms,p99_ms,approx_fps,allocated_bytes_frame,gc0,gc1,gc2,working_set_mib
basic,1280x720,1.042,1.478,1.785,960.1,41690,1,0,0,57.1
dense,1280x720,0.856,1.263,1.396,1168.1,5784,0,0,0,58.7
visual,1280x720,1.897,2.456,2.615,527.1,464,0,0,0,59.8
basic,1920x1080,1.739,2.308,2.797,575.2,41689,3,1,0,64.1
dense,1920x1080,2.114,2.736,2.864,473.1,5784,0,0,0,74.7
visual,1920x1080,3.389,3.790,3.946,295.1,464,0,0,0,75.3
basic,2560x1440,2.267,2.791,3.109,441.2,41689,3,0,0,81.6
dense,2560x1440,2.988,3.470,3.809,334.7,5728,0,0,0,81.7
visual,2560x1440,5.260,5.622,5.829,190.1,464,0,0,0,83.0
basic,3840x2160,4.345,5.057,5.376,230.2,41688,3,0,0,100.5
dense,3840x2160,6.356,6.886,7.114,157.3,5728,0,0,0,100.3
visual,3840x2160,10.366,11.107,11.544,96.5,464,0,0,0,102.9
